"Año";"Periodo";"Deuda de la Seguridad Social"
"1994";"Diciembre";"7.267,8"
"1995";"Enero";"7.932,32"
"1995";"Febrero";"8.154,87"
"1995";"Marzo";"8.809,8"
"1995";"Abril";"8.599,96"
"1995";"Mayo";"8.822,51"
"1995";"Junio";"9.103,37"
"1995";"Julio";"9.267,6"
"1995";"Agosto";"9.490,15"
"1995";"Septiembre";"9.726,53"
"1995";"Octubre";"9.935,24"
"1995";"Noviembre";"10.157,79"
"1995";"Diciembre";"10.648,51"
"1996";"Enero";"10.330,15"
"1996";"Febrero";"10.552,95"
"1996";"Marzo";"10.693,22"
"1996";"Abril";"10.917,71"
"1996";"Mayo";"11.039,37"
"1996";"Junio";"11.064,35"
"1996";"Julio";"11.647,73"
"1996";"Agosto";"11.769,4"
"1996";"Septiembre";"12.102,04"
"1996";"Octubre";"11.769,4"
"1996";"Noviembre";"11.769,4"
"1996";"Diciembre";"13.780,34"
"1997";"Enero";"13.414,33"
"1997";"Febrero";"13.628"
"1997";"Marzo";"13.841,65"
"1997";"Abril";"14.130,33"
"1997";"Mayo";"14.224,39"
"1997";"Junio";"14.483,53"
"1997";"Julio";"14.697,49"
"1997";"Agosto";"14.910,85"
"1997";"Septiembre";"15.125,41"
"1997";"Octubre";"15.338,77"
"1997";"Noviembre";"15.552,73"
"1997";"Diciembre";"16.347,56"
"1998";"Enero";"15.779,6"
"1998";"Febrero";"16.192,5"
"1998";"Marzo";"16.431,1"
"1998";"Abril";"16.669,1"
"1998";"Mayo";"16.907,1"
"1998";"Junio";"17.145,1"
"1998";"Julio";"17.383,1"
"1998";"Agosto";"17.621,71"
"1998";"Septiembre";"17.859,71"
"1998";"Octubre";"18.097,71"
"1998";"Noviembre";"18.335,71"
"1998";"Diciembre";"18.523,52"
"1999";"Enero";"18.567,39"
"1999";"Febrero";"18.611,77"
"1999";"Marzo";"18.655,74"
"1999";"Abril";"18.700,02"
"1999";"Mayo";"18.744,14"
"1999";"Junio";"18.788,57"
"1999";"Julio";"18.832,39"
"1999";"Agosto";"18.876,51"
"1999";"Septiembre";"18.920,64"
"1999";"Octubre";"18.964,77"
"1999";"Noviembre";"19.008,89"
"1999";"Diciembre";"18.958,7"
