Totales Territoriales;Sexo;Periodo;Total
Total Nacional;Hombres;2022;80,36
Total Nacional;Hombres;2021;80,2
Total Nacional;Hombres;2020;79,52
Total Nacional;Hombres;2019;80,78
Total Nacional;Hombres;2018;80,4
Total Nacional;Hombres;2017;80,32
Total Nacional;Hombres;2016;80,26
Total Nacional;Hombres;2015;79,89
Total Nacional;Hombres;2014;80,1
Total Nacional;Hombres;2013;79,92
Total Nacional;Hombres;2012;79,36
Total Nacional;Hombres;2011;79,3
Total Nacional;Hombres;2010;79,05
Total Nacional;Hombres;2009;78,62
Total Nacional;Hombres;2008;78,22
Total Nacional;Hombres;2007;77,78
Total Nacional;Hombres;2006;77,71
Total Nacional;Hombres;2005;77,02
Total Nacional;Hombres;2004;76,98
Total Nacional;Hombres;2003;76,41
Total Nacional;Hombres;2002;76,38
Total Nacional;Hombres;2001;76,27
Total Nacional;Hombres;2000;75,93
Total Nacional;Hombres;1999;75,43
Total Nacional;Hombres;1998;75,42
Total Nacional;Hombres;1997;75,29
Total Nacional;Hombres;1996;74,66
Total Nacional;Hombres;1995;74,53
Total Nacional;Hombres;1994;74,47
Total Nacional;Hombres;1993;74,09
Total Nacional;Hombres;1992;73,89
Total Nacional;Hombres;1991;73,49
Total Nacional;Hombres;1990;73,4
Total Nacional;Hombres;1989;73,42
Total Nacional;Hombres;1988;73,52
Total Nacional;Hombres;1987;73,55
Total Nacional;Hombres;1986;73,4
Total Nacional;Hombres;1985;73,08
Total Nacional;Hombres;1984;73,18
Total Nacional;Hombres;1983;72,94
Total Nacional;Hombres;1982;73,15
Total Nacional;Hombres;1981;72,51
Total Nacional;Hombres;1980;72,36
Total Nacional;Hombres;1979;71,81
Total Nacional;Hombres;1978;71,41
Total Nacional;Hombres;1977;71,27
Total Nacional;Hombres;1976;70,81
Total Nacional;Hombres;1975;70,53
