Periodo;Total
2022;6,88
2021;7,1
2020;7,19
2019;7,62
2018;7,94
2017;8,41
2016;8,8
2015;9,02
2014;9,18
2013;9,11
2012;9,7
2011;10,07
2010;10,42
2009;10,65
2008;11,28
2007;10,86
2006;10,85
2005;10,65
2004;10,57
2003;10,44
2002;10,08
2001;9,94
2000;9,78
1999;9,39
1998;9,06
1997;9,2
1996;9,07
1995;9,15
1994;9,35
1993;9,8
1992;10,13
1991;10,16
1990;10,32
1989;10,51
1988;10,79
1987;11,02
1986;11,36
1985;11,85
1984;12,34
1983;12,71
1982;13,57
1981;14,1
1980;15,22
1979;16,17
1978;17,25
1977;17,96
1976;18,73
1975;18,7
