Totales Territoriales;Sexo;Periodo;Total
Total Nacional;Ambos sexos;2022;83,08
Total Nacional;Ambos sexos;2021;83,03
Total Nacional;Ambos sexos;2020;82,28
Total Nacional;Ambos sexos;2019;83,53
Total Nacional;Ambos sexos;2018;83,15
Total Nacional;Ambos sexos;2017;83,05
Total Nacional;Ambos sexos;2016;83,08
Total Nacional;Ambos sexos;2015;82,67
Total Nacional;Ambos sexos;2014;82,91
Total Nacional;Ambos sexos;2013;82,77
Total Nacional;Ambos sexos;2012;82,26
Total Nacional;Ambos sexos;2011;82,25
Total Nacional;Ambos sexos;2010;82,07
Total Nacional;Ambos sexos;2009;81,66
Total Nacional;Ambos sexos;2008;81,3
Total Nacional;Ambos sexos;2007;80,97
Total Nacional;Ambos sexos;2006;80,94
Total Nacional;Ambos sexos;2005;80,28
Total Nacional;Ambos sexos;2004;80,29
Total Nacional;Ambos sexos;2003;79,7
Total Nacional;Ambos sexos;2002;79,76
Total Nacional;Ambos sexos;2001;79,67
Total Nacional;Ambos sexos;2000;79,34
Total Nacional;Ambos sexos;1999;78,87
Total Nacional;Ambos sexos;1998;78,87
Total Nacional;Ambos sexos;1997;78,76
Total Nacional;Ambos sexos;1996;78,26
Total Nacional;Ambos sexos;1995;78,12
Total Nacional;Ambos sexos;1994;78,03
Total Nacional;Ambos sexos;1993;77,66
Total Nacional;Ambos sexos;1992;77,51
Total Nacional;Ambos sexos;1991;77,07
Total Nacional;Ambos sexos;1990;76,91
Total Nacional;Ambos sexos;1989;76,9
Total Nacional;Ambos sexos;1988;76,86
Total Nacional;Ambos sexos;1987;76,84
Total Nacional;Ambos sexos;1986;76,61
Total Nacional;Ambos sexos;1985;76,34
Total Nacional;Ambos sexos;1984;76,39
Total Nacional;Ambos sexos;1983;76,02
Total Nacional;Ambos sexos;1982;76,22
Total Nacional;Ambos sexos;1981;75,61
Total Nacional;Ambos sexos;1980;75,44
Total Nacional;Ambos sexos;1979;74,91
Total Nacional;Ambos sexos;1978;74,44
Total Nacional;Ambos sexos;1977;74,24
Total Nacional;Ambos sexos;1976;73,76
Total Nacional;Ambos sexos;1975;73,44
Total Nacional;Hombres;2022;80,36
Total Nacional;Hombres;2021;80,2
Total Nacional;Hombres;2020;79,52
Total Nacional;Hombres;2019;80,78
Total Nacional;Hombres;2018;80,4
Total Nacional;Hombres;2017;80,32
Total Nacional;Hombres;2016;80,26
Total Nacional;Hombres;2015;79,89
Total Nacional;Hombres;2014;80,1
Total Nacional;Hombres;2013;79,92
Total Nacional;Hombres;2012;79,36
Total Nacional;Hombres;2011;79,3
Total Nacional;Hombres;2010;79,05
Total Nacional;Hombres;2009;78,62
Total Nacional;Hombres;2008;78,22
Total Nacional;Hombres;2007;77,78
Total Nacional;Hombres;2006;77,71
Total Nacional;Hombres;2005;77,02
Total Nacional;Hombres;2004;76,98
Total Nacional;Hombres;2003;76,41
Total Nacional;Hombres;2002;76,38
Total Nacional;Hombres;2001;76,27
Total Nacional;Hombres;2000;75,93
Total Nacional;Hombres;1999;75,43
Total Nacional;Hombres;1998;75,42
Total Nacional;Hombres;1997;75,29
Total Nacional;Hombres;1996;74,66
Total Nacional;Hombres;1995;74,53
Total Nacional;Hombres;1994;74,47
Total Nacional;Hombres;1993;74,09
Total Nacional;Hombres;1992;73,89
Total Nacional;Hombres;1991;73,49
